"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-17","Istanbul","HW007","10.81.164.37","1190.16","330.53","1587.94","859.63","27.77","3.26:1","117","Linux: 14 | Windows: 14 | VMware ESX: 61 | AIX: 28","6.1.8.SPH5"
"2026-05-17","Istanbul","HW005","10.81.164.39","1190.16","464.51","2569.84","725.65","39.03","3.21:1","112","Linux: 14 | Windows: 16 | VMware ESX: 49 | AIX: 33","6.1.8.SPH5"
"2026-05-17","Istanbul","HW004","10.81.165.96","1642.84","0","2507.96","896.6","45.42","3.26:1","38","Linux: 16 | VMware ESX: 3 | AIX: 19","6.1.6.SPH51"
"2026-05-17","Istanbul","HW002","10.81.165.68","1642.84","0","2373.4","1021.88","37.8","3.26:1","103","Linux: 17 | Windows: 4 | VMware ESX: 60 | AIX: 22","6.1.6.SPH51"
"2026-05-17","Istanbul","HW005_DE39","10.81.164.190","1690.6","370.77","1594.27","1319.83","21.93","3.27:1","33","Linux: 6 | Windows: 9 | VMware ESX: 8 | AIX: 10","6.1.8.SPH36"
"2026-05-17","Istanbul","HW001_AT32","10.81.165.4","1690.6","172.46","1043.74","1518.14","10.2","3.22:1","73","Linux: 12 | Windows: 11 | VMware ESX: 23 | AIX: 27","6.1.8.SPH36"
"2026-05-17","Istanbul","HW005_AT37","10.81.165.143","1690.6","151.89","822.02","1538.71","8.98","3.27:1","37","Linux: 5 | Windows: 2 | VMware ESX: 9 | AIX: 21","6.1.8.SPH36"
"2026-05-17","IBTech","HW005_IBT","10.131.9.62","164.28","0","83","148.13","9.83","2.61:1","3","VMware ESX: 3","6.1.6.SPH50"
"2026-05-17","Ankara","HW001","10.25.166.137","1642.84","0","3623.66","705.13","57.08","3.26:1","157","Linux: 17 | Windows: 13 | VMware ESX: 83 | AIX: 44","6.1.6.SPH51"
"2026-05-17","Ankara","HW005","10.25.166.213","1642.84","0","4209.71","613.24","62.67","3.26:1","105","Linux: 15 | Windows: 22 | VMware ESX: 5 | AIX: 63","6.1.6.SPH51"
"2026-05-17","Ankara","HW001_SOL5","10.25.166.128","1595.22","276.49","2293.82","1318.73","17.33","3.25:1","135","Linux: 25 | VMware ESX: 87 | AIX: 23","6.1.8.SPH36"
"2026-05-17","Ankara","HW002_SOL5","10.25.166.130","1595.22","395","2553.6","1200.22","24.76","3.23:1","149","Windows: 8 | Linux: 17 | VMware ESX: 90 | AIX: 34","6.1.8.SPH36"
"2026-05-17","---","TOPLAM ANKARA","","6476.12","2638.8","12680.79","3837.32","40.75","","","",""
"2026-05-17","---","TOPLAM IBTECH","","164.28","16.15","83","148.13","9.83","","","",""
"2026-05-17","---","TOPLAM ISTANBUL","","10737.8","2857.36","12499.17","7880.44","26.61","","","",""
"2026-05-17","===","GENEL TOPLAM","","17378.2","5512.31","25262.96","11865.89","31.72","","","",""
