"Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"Istanbul","000220201230","stoprdapp04","1005.26","232.44","2062.51","772.82","23.12","4.1:1","11","AIX: 10 | VMware ESX: 1",""
"Istanbul","000220201231","stoprdapp04","1005.26","210.51","2460.95","794.75","20.94","4.6:1","7","Linux: 1 | AIX: 6",""
"Istanbul","000297600649","stoprdapp04","586.8","373.23","1581","213.57","63.6","3.3:1","43","Unknown: 7 | Windows: 12 | VMware ESX: 1 | Linux: 2 | AIX: 21",""
"Istanbul","000297700507","stoprdapp04","766.4","247.16","538.21","519.24","32.25","2.5:1","23","Unknown: 8 | Linux: 4 | VMware ESX: 1 | Windows: 1 | AIX: 9",""
"Ankara","000220201232","stodrcapp02","1005.26","156.22","1307.33","849.04","15.54","3.8:1","5","VMware ESX: 1 | AIX: 4",""
"Ankara","000297601651","stodrcapp02","489","225.5","1097.35","263.5","46.11","3:1","15","Windows: 3 | VMware ESX: 1 | Unknown: 1 | AIX: 10",""
"Ankara","000297601653","stodrcapp02","489","336.42","1227.8","152.58","68.8","2.8:1","3","VMware ESX: 1 | AIX: 2",""
"Kos","000297600630","stoprdapp05","47.73","40","162.1","7.73","83.8","4.7:1","8","Linux: 2 | Unknown: 1 | AIX: 5",""
"Kos","000297600631","stoprdapp05","195.6","160.57","526.26","35.03","82.09","2.7:1","20","Linux: 2 | AIX: 12 | Unknown: 4 | Windows: 2",""
"---","TOPLAM ANKARA","","1983.26","718.14","3632.48","1265.12","36.21","","","",""
"---","TOPLAM ISTANBUL","","3363.72","1063.34","6642.67","2300.38","31.61","","","",""
"---","TOPLAM KOS","","243.33","200.57","688.36","42.76","82.43","","","",""
"===","GENEL TOPLAM","","5590.31","1982.05","10963.51","3608.26","35.46","","","",""
