"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-21","Istanbul","UMR_CLS","10.81.165.236","3242.87","2352.46","61.71","890.41","72.54","13.75:1","62","CIFS: 37 | FCP: 3 | NFS: 40","9.14.1P12"
"2026-05-21","Istanbul","UOM_AFF_CLS_01","10.81.166.145","167.07","99.94","120.46","67.13","59.82","14.17:1","10","CIFS: 3 | FCP: 1 | NFS: 5","9.14.1P12"
"2026-05-21","Istanbul","UOM_AFF_CLS_02","10.81.166.150","34.68","15.79","41.59","18.89","45.53","9.9:1","10","CIFS: 2 | FCP: 1 | NFS: 2","9.14.1P12"
"2026-05-21","Ankara","ANK_CLS","10.25.166.88","3156.5","1768.12","172.87","1388.38","56.02","14.23:1","24","CIFS: 16 | FCP: 1 | NFS: 18","9.16.1P12"
"2026-05-21","Ankara","ANK_AFF_CLS_01","10.25.167.238","239.59","130.19","15.39","109.4","54.34","13.31:1","9","CIFS: 3 | NFS: 5","9.16.1P12"
"2026-05-21","Ankara","ANK_AFF_CLS_02","10.25.167.239","88.27","31.65","0.01","56.62","35.86","5.75:1","9","CIFS: 2 | NFS: 3","9.16.1P12"
"2026-05-21","---","TOPLAM ANKARA","","3484.36","1929.96",,"1554.4","55.39","","","",""
"2026-05-21","---","TOPLAM ISTANBUL","","3444.62","2468.19",,"976.43","71.65","","","",""
"2026-05-21","===","GENEL TOPLAM","","6928.98","4398.15",,"2530.83","63.47","","","",""
