"Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"Istanbul","UMR_CLS","10.81.165.236","3242.87","2349.78","68.55","893.09","72.46","13.72:1","62","SVM: 62 | Vol: 24","NetApp Release 9.14.1P12: Tue Mar 25 23:16:26 UTC 2025"
"Istanbul","UOM_AFF_CLS_01","10.81.166.145","167.07","100.42","120.46","66.65","60.11","14.16:1","10","SVM: 10 | Vol: 17","NetApp Release 9.14.1P12: Tue Mar 25 23:16:26 UTC 2025"
"Istanbul","UOM_AFF_CLS_02","10.81.166.150","34.68","15.47","41.59","19.21","44.61","10.13:1","10","SVM: 10 | Vol: 5","NetApp Release 9.14.1P12: Tue Mar 25 23:16:26 UTC 2025"
"Ankara","ANK_CLS","10.25.166.88","3156.5","1764.35","172.87","1392.15","55.9","14.19:1","24","SVM: 24 | Vol: 133","NetApp Release 9.16.1P12: Wed Mar 11 12:37:44 UTC 2026"
"Ankara","ANK_AFF_CLS_01","10.25.167.238","239.59","129.97","15.39","109.62","54.25","14.6:1","9","SVM: 9 | Vol: 6","NetApp Release 9.16.1P12: Wed Mar 11 12:37:44 UTC 2026"
"Ankara","ANK_AFF_CLS_02","10.25.167.239","88.27","31.91","0.01","56.36","36.15","5.29:1","9","SVM: 9 | Vol: 1","NetApp Release 9.16.1P12: Wed Mar 11 12:37:44 UTC 2026"
"---","TOPLAM ANKARA","","3484.36","1926.23","188.27","1558.13","55.28","","","",""
"---","TOPLAM ISTANBUL","","3444.62","2465.67","230.6","978.95","71.58","","","",""
"===","GENEL TOPLAM","","6928.98","4391.9","418.87","2537.08","63.38","","","",""
