"HostName","Location"
"ALMPRDCLN02","PURE-DB39-008"
"ALOPRDKFK12","PURE-DB39-008"
"BTPRDOPVIRT01","PURE-DB39-008"
"BTPRDOPVIRT02","PURE-DB39-008"
"BTPRDOPVIRT03","PURE-DB39-008"
"CBPRDDB05","PURE-DB39-008"
"CBPRDRARC07","PURE-DB39-008"
"CBTSTDB07","PURE-DB39-008"
"CBTSTDB07NPIV","PURE-DB39-008"
"CBTSTRAC01","PURE-DB39-008"
"CBTSTRAC02","PURE-DB39-008"
"CBTSTRAC03","PURE-DB39-008"
"CBTSTRAC04","PURE-DB39-008"
"ECMPRDRAC03","PURE-DB39-008"
"ECMPRDRAC04","PURE-DB39-008"
"ELKPRDDAT11","PURE-DB39-008"
"FBPRDESX21","PURE-DB39-008"
"FBPRDESX22","PURE-DB39-008"
"FBPRDESX23","PURE-DB39-008"
"FBPRDESX24","PURE-DB39-008"
"FBPRDESX45","PURE-DB39-008"
"FBPRDESX46","PURE-DB39-008"
"FBPRDESX90","PURE-DB39-008"
"FBPRDESX91","PURE-DB39-008"
"FBPRDESX94","PURE-DB39-008"
"FBPRDESX95","PURE-DB39-008"
"FBPRDESX96","PURE-DB39-008"
"FEPRDVM01","PURE-DB39-008"
"FEPRDVM02","PURE-DB39-008"
"FEPRDVM03","PURE-DB39-008"
"FEPRDVM04","PURE-DB39-008"
"FEPRDVM05","PURE-DB39-008"
"FEPRDVM06","PURE-DB39-008"
"FEPRDVM07","PURE-DB39-008"
"FEPRDVM08","PURE-DB39-008"
"GENTSTRAC01","PURE-DB39-008"
"GENTSTRAC02","PURE-DB39-008"
"KFTPRDRAC01","PURE-DB39-008"
"KFTPRDRAC02","PURE-DB39-008"
"ODIPRDAPP02","PURE-DB39-008"
"PSPRDESX19","PURE-DB39-008"
"PSPRDESX20","PURE-DB39-008"
"PSPRDESX23","PURE-DB39-008"
"PSPRDESX24","PURE-DB39-008"
"PSPRDESX25","PURE-DB39-008"
"PSPRDESX26","PURE-DB39-008"
"PSPRDESX27","PURE-DB39-008"
"PSPRDESX30","PURE-DB39-008"
"PSPRDESX31","PURE-DB39-008"
"PSPRDESX32","PURE-DB39-008"
"PSPRDESX33","PURE-DB39-008"
"SEAPRDARC01","PURE-DB39-008"
"SEAPRDRAC01","PURE-DB39-008"
"SEAPRDRAC02","PURE-DB39-008"
"SEATSTRAC01","PURE-DB39-008"
"SEATSTRAC02","PURE-DB39-008"
"SFDPRDRAC03","PURE-DB39-008"
"SFDPRDRAC04","PURE-DB39-008"
"STOTSTAPP05","PURE-DB39-008"
"TNGPRDRAC01","PURE-DB39-008"
"TNGPRDRAC02","PURE-DB39-008"
"DUMMY-SERVER","PURE-DB39-008"
"STOTSTAPP03","HUAWEI-005-AT37"
"STOTSTAPP04","HUAWEI-005-AT37"
"STOTSTAPP05","HUAWEI-005-AT37"
"CBPRDRAC05_IG1","HUAWEI-005-AT37"
"CBPRDRAC05_IG2","HUAWEI-005-AT37"
"CBPRDRAC06_IG1","HUAWEI-005-AT37"
"CBPRDRAC06_IG2","HUAWEI-005-AT37"
"CFRPRDRAC01","HUAWEI-005-AT37"
"CFRPRDRAC02","HUAWEI-005-AT37"
"BTPRDMGT07","HUAWEI-005-AT37"
"BNXEARPRDCLN02","HUAWEI-005-AT37"
"ALMPRDCLN02","HUAWEI-005-AT37"
"BNXGSCPRDRAC01","HUAWEI-005-AT37"
"BNXGSCPRDRAC02","HUAWEI-005-AT37"
"FBPRDESX47","HUAWEI-005-AT37"
"FBPRDESX48","HUAWEI-005-AT37"
"FBPRDESX49","HUAWEI-005-AT37"
"FBPRDESX50","HUAWEI-005-AT37"
"FBPRDESX51","HUAWEI-005-AT37"
"FBPRDESX52","HUAWEI-005-AT37"
"FBPRDVM_1","HUAWEI-005-AT37"
"FBPRDVM_2","HUAWEI-005-AT37"
"FBPRDVM_3","HUAWEI-005-AT37"
"SCETSTAPP02","HUAWEI-005-AT37"
"BNXEDPRDAPP02","HUAWEI-005-AT37"
"SGXLINTSTRAC02","HUAWEI-005-AT37"
"BNXMCMPRDRAC01","HUAWEI-005-AT37"
"BNXMCMPRDRAC02","HUAWEI-005-AT37"
"IDMPRDRAC01","HUAWEI-005-AT37"
"IDMPRDRAC02","HUAWEI-005-AT37"
"DAPRDKFK11","HUAWEI-005-AT37"
"VPSPRDRAC01","HUAWEI-005-AT37"
"VPSPRDRAC02","HUAWEI-005-AT37"
"STOTSTAPP03","HUAWEI-001-AT32"
"STOTSTAPP05","HUAWEI-001-AT32"
"STOTSTAPP04","HUAWEI-001-AT32"
"CFRPRDRAC01","HUAWEI-001-AT32"
"CFRPRDRAC02","HUAWEI-001-AT32"
"BNXSESPRDCLN02","HUAWEI-001-AT32"
"BNXSESPRDCLN01","HUAWEI-001-AT32"
"ODPRDDB07","HUAWEI-001-AT32"
"BNXMCMTSTDB01","HUAWEI-001-AT32"
"FEPRDESX01","HUAWEI-001-AT32"
"FEPRDESX02","HUAWEI-001-AT32"
"FEPRDESX03","HUAWEI-001-AT32"
"FEPRDESX04","HUAWEI-001-AT32"
"FEPRDESX05","HUAWEI-001-AT32"
"FEPRDESX06","HUAWEI-001-AT32"
"FEPRDESX07","HUAWEI-001-AT32"
"BNXGSCPRDRAC01","HUAWEI-001-AT32"
"BNXGSCPRDRAC02","HUAWEI-001-AT32"
"BNXGSCTSTDBO01","HUAWEI-001-AT32"
"BNXMSGPRDEXC01","HUAWEI-001-AT32"
