"Lokasyon","Kabin_Adi","Host_Name","Host_Group","Protocol","IQN_WWN"
"ISTANBUL","PURE_008","FEPRDVM06","HG-FEPRDVM-UNIX","FC","100070B7E42412A5;100070B7E4241349"
"ISTANBUL","PURE_008","FBPRDESX90","FBPRDESX-SQL","FC","100070B7E420F299;100070B7E420F29A;100070B7E420F51B;100070B7E420F51C"
"ISTANBUL","PURE_008","FBPRDESX94","FBPRDESX-SQL","FC","100070B7E424152D;100070B7E424152E;100070B7E42415C9;100070B7E42415CA"
"ISTANBUL","PURE_008","FBPRDESX95","FBPRDESX-SQL","FC","100070B7E424157E;100070B7E424157F;100070B7E42415BA;100070B7E42415BB"
"ISTANBUL","PURE_008","FBPRDESX91","FBPRDESX-SQL","FC","100070B7E420F454;100070B7E420F455;100070B7E424145A;100070B7E424145B"
"ISTANBUL","PURE_008","FBPRDESX96","FBPRDESX-SQL","FC","100070B7E42415AB;100070B7E42415AC;100070B7E42415B7;100070B7E42415B8"
"ISTANBUL","PURE_008","PSPRDESX26","PSPRDESX","FC","100000109BDDEE0F;100000109BDDEE10;100000109BDDEE15;100000109BDDEE16"
"ISTANBUL","PURE_008","PSPRDESX23","PSPRDESX","FC","100000109BDDEAEA;100000109BDDEB66"
"ISTANBUL","PURE_008","PSPRDESX24","PSPRDESX","FC","100000109BDDE93F;100000109BDDEB18"
"ISTANBUL","PURE_008","PSPRDESX30","PSPRDESX","FC","100070B7E424138D;100070B7E424138E;100070B7E424154E;100070B7E424154F"
"ISTANBUL","PURE_008","PSPRDESX32","PSPRDESX","FC","100070B7E4241515;100070B7E4241516;100070B7E4241557;100070B7E4241558"
"ISTANBUL","PURE_008","PSPRDESX27","PSPRDESX","FC","100000109BDDE961;100000109BDDEB13"
"ISTANBUL","PURE_008","PSPRDESX33","PSPRDESX","FC","100070B7E424151E;100070B7E4241563"
"ISTANBUL","PURE_008","dummy-server","None","FC",""
"ISTANBUL","PURE_008","PSPRDESX31","PSPRDESX","FC","100070B7E4241360;100070B7E4241361;100070B7E4241366;100070B7E4241367"
"ISTANBUL","PURE_008","SEAPRDRAC01","SEAPRDRAC","FC","C050760C116A005A;C050760C116A005B;C050760C116A005C;C050760C116A005D;C050760C116A005E;C050760C116A005F;C050760C116A0060;C050760C116A0061;C050760C116A0062;C050760C116A0063;C050760C116A0064;C050760C116A0065;C050760C116A0066;C050760C116A0067;C050760C116A0068;C050760C116A0069"
"ISTANBUL","PURE_008","SEAPRDRAC02","SEAPRDRAC","FC","C050760C116C0082;C050760C116C0083;C050760C116C0084;C050760C116C0085;C050760C116C0086;C050760C116C0087;C050760C116C0088;C050760C116C0089;C050760C116C008A;C050760C116C008B;C050760C116C008C;C050760C116C008D;C050760C116C008E;C050760C116C008F;C050760C116C0090;C050760C116C0091"
"ISTANBUL","PURE_005","STOTSTAPP04","None","FC","10009440C9D01B18;10009440C9D01B19;10009440C9D04B39;10009440C9D04B3A;10009440C9D07CD2;10009440C9D07CD3;10009440C9D09C21;10009440C9D09C22"
"ISTANBUL","PURE_005","ELKPRDDAT02","None","FC","100000109B175C86;100000109B175CA1"
"ISTANBUL","PURE_005","ELKPRDDAT09","None","FC","100000620B4373CF;100000620B437400"
"ISTANBUL","PURE_005","ALOPRDKFK16","None","FC","10009440C9D072EE;10009440C9D08204"
"ISTANBUL","PURE_005","KYSTSTDB01","None","FC","C05076010F260038;C05076010F260039;C05076010F26003A;C05076010F26003B;C05076010F26003C;C05076010F26003D;C05076010F26003E;C05076010F26003F;C050760436130352;C050760436130353;C050760436130354;C050760436130355;C050760436130356;C050760436130357;C050760436130358;C050760436130359"
"ISTANBUL","PURE_005","FBPRDVM03","VDIPRDVM","FC","10009440C9D03B7B;10009440C9D04709"
"ISTANBUL","PURE_005","FBPRDVM06","VDIPRDVM","FC","10009440C9D00BDE;10009440C9D037F3"
"ISTANBUL","PURE_005","FBPRDVM16","VDIPRDVM","FC","10009440C9D0373C;10009440C9D03BB7"
"ISTANBUL","PURE_005","BDPPRDEDG02","None","FC","100000620B423BC9;100000620B423C54"
"ISTANBUL","PURE_005","PSPRDESX25","PSTSTESX","FC","100000109BDDEE09;100000109BDDEE0A;100000109BDDEE0C;100000109BDDEE0D"
"ISTANBUL","PURE_005","PSPRDESX26","PSPRDESX","FC","100000109BDDEE0F;100000109BDDEE10;100000109BDDEE15;100000109BDDEE16"
"ISTANBUL","PURE_005","PGMPRDCAS01","None","FC","51402EC001CAA154;51402EC001CAA156"
"ISTANBUL","PURE_005","PGMPRDCAS02","None","FC","51402EC001CAA104;51402EC001CAA106"
"ISTANBUL","PURE_005","PGMPRDCAS03","None","FC","51402EC001CAA0A8;51402EC001CAA0AA"
"ISTANBUL","PURE_005","PGMPRDCAS04","None","FC","51402EC001CAA078;51402EC001CAA07A"
"ISTANBUL","PURE_005","PGMPRDCAS05","None","FC","51402EC001CAA068;51402EC001CAA06A"
"ISTANBUL","PURE_005","FBPRDVM96","VDIPRDVM","FC","51402EC001CA7A50;51402EC001CAA348"
"ISTANBUL","PURE_005","FBPRDESX12","VDIPRDVM","FC","51402EC0123F4B52;51402EC0123F4CC0"
