"Lokasyon","Kabin_Adi","Host_Name","Host_Group","Protocol","IQN_WWN"
"ISTANBUL","PURE_005","PURE-AO37-07B:SWPRDMGW01","None","FC","C050760C116A0030;C050760C116A0031;C050760C116A0032;C050760C116A0033;C050760C116A0034;C050760C116A0035;C050760C116A0036;C050760C116A0037;C050760C116A0038;C050760C116A0039;C050760C116A003A;C050760C116A003B;C050760C116A003C;C050760C116A003D;C050760C116A003E;C050760C116A003F"
"ISTANBUL","PURE_005","PURE-AO37-07B:SWPRDMGW02","None","FC","C050760C116C0060;C050760C116C0061;C050760C116C0062;C050760C116C0063;C050760C116C0064;C050760C116C0065;C050760C116C0066;C050760C116C0067;C050760C116C0068;C050760C116C0069;C050760C116C006A;C050760C116C006B;C050760C116C006C;C050760C116C006D;C050760C116C006E;C050760C116C006F"
"ISTANBUL","PURE_005","PURE-AO37-07B:KFTPRDRAC01","PURE-AO37-07B:KFTPRDRAC0102","FC","C050760C116A0040;C050760C116A0041;C050760C116A0042;C050760C116A0043;C050760C116A0044;C050760C116A0045;C050760C116A0046;C050760C116A0047;C050760C116A0048;C050760C116A0049;C050760C116A004A;C050760C116A004B;C050760C116A004C;C050760C116A004D;C050760C116A004E;C050760C116A004F"
"ISTANBUL","PURE_005","PURE-AO37-07B:KFTPRDRAC02","PURE-AO37-07B:KFTPRDRAC0102","FC","C050760C116C0070;C050760C116C0071;C050760C116C0072;C050760C116C0073;C050760C116C0074;C050760C116C0075;C050760C116C0076;C050760C116C0077;C050760C116C0078;C050760C116C0079;C050760C116C007A;C050760C116C007B;C050760C116C007C;C050760C116C007D;C050760C116C007E;C050760C116C007F"
"ISTANBUL","PURE_005","PURE-AO37-07B:FEPRDVM01","PURE-AO37-07B:HG-FEPRDVM-UNIX","FC","1000B47AF1D207AB;1000B47AF1D2309C"
"ISTANBUL","PURE_005","PURE-AO37-07B:DAPRDCAS05","None","FC","51402EC001CA77A8;51402EC001CA84EC"
"ISTANBUL","PURE_005","PURE-AO37-07B:TNGPRDRAC01","PURE-AO37-07B:TNGPRDRAC0102","FC","C050760C116A007A;C050760C116A007B;C050760C116A007C;C050760C116A007D;C050760C116A007E;C050760C116A007F;C050760C116A0080;C050760C116A0081;C050760C116A0082;C050760C116A0083;C050760C116A0084;C050760C116A0085;C050760C116A0086;C050760C116A0087;C050760C116A0088;C050760C116A0089"
"ISTANBUL","PURE_005","PURE-AO37-07B:TNGPRDRAC02","PURE-AO37-07B:TNGPRDRAC0102","FC","C050760C116C00A2;C050760C116C00A3;C050760C116C00A4;C050760C116C00A5;C050760C116C00A6;C050760C116C00A7;C050760C116C00A8;C050760C116C00A9;C050760C116C00AA;C050760C116C00AB;C050760C116C00AC;C050760C116C00AD;C050760C116C00AE;C050760C116C00AF;C050760C116C00B0;C050760C116C00B1"
"ISTANBUL","PURE_005","PURE-AO37-07B:FBPRDESX47","PURE-AO37-07B:FBPRDESX-TELEKOM","FC","10009440C9D40018;10009440C9D4001B"
"ISTANBUL","PURE_005","PURE-AO37-07B:FBPRDESX48","PURE-AO37-07B:FBPRDESX-TELEKOM","FC","10009440C9D49090;10009440C9D490A5"
"ISTANBUL","PURE_005","PURE-AO37-07B:FBPRDESX49","PURE-AO37-07B:FBPRDESX-TELEKOM","FC","10009440C9D0FFC6;10009440C9D0FFF0"
"ISTANBUL","PURE_005","PURE-AO37-07B:FBPRDESX50","PURE-AO37-07B:FBPRDESX-TELEKOM","FC","10009440C9D4900F;10009440C9D49012"
"ISTANBUL","PURE_005","PURE-AO37-07B:FBPRDESX51","PURE-AO37-07B:FBPRDESX-TELEKOM","FC","10009440C9D49009;10009440C9D4900C"
"ISTANBUL","PURE_005","PURE-AO37-07B:FBPRDESX52","PURE-AO37-07B:FBPRDESX-TELEKOM","FC","10009440C9D00F42;10009440C9D00F57"
"ISTANBUL","PURE_005","PURE-AO37-07B:SEATSTRAC01","PURE-AO37-07B:SEATSTRAC","FC","C050760C116A006A;C050760C116A006B;C050760C116A006C;C050760C116A006D;C050760C116A006E;C050760C116A006F;C050760C116A0070;C050760C116A0071;C050760C116A0072;C050760C116A0073;C050760C116A0074;C050760C116A0075;C050760C116A0076;C050760C116A0077;C050760C116A0078;C050760C116A0079"
"ISTANBUL","PURE_005","PURE-AO37-07B:SEATSTRAC02","PURE-AO37-07B:SEATSTRAC","FC","C050760C116C0092;C050760C116C0093;C050760C116C0094;C050760C116C0095;C050760C116C0096;C050760C116C0097;C050760C116C0098;C050760C116C0099;C050760C116C009A;C050760C116C009B;C050760C116C009C;C050760C116C009D;C050760C116C009E;C050760C116C009F;C050760C116C00A0;C050760C116C00A1"
"ISTANBUL","PURE_005","PURE-AO37-07B:FEPRDVM05","PURE-AO37-07B:HG-FEPRDVM-UNIX","FC","100070B7E42285A0;100070B7E42285BD"
"ISTANBUL","PURE_005","PURE-AO37-07B:FEPRDVM06","PURE-AO37-07B:HG-FEPRDVM-UNIX","FC","100070B7E42412A5;100070B7E4241349"
"ISTANBUL","PURE_005","PURE-AO37-07B:SIMPRDESX01","PURE-AO37-07B:SIMPRDESX","FC","51402EC001CA6486;51402EC001CAB4B2"
"ISTANBUL","PURE_005","PURE-AO37-07B:SIMPRDESX02","PURE-AO37-07B:SIMPRDESX","FC","51402EC001CAB512;51402EC001CAB56A"
"ISTANBUL","PURE_005","PURE-AO37-07B:SIMPRDESX03","PURE-AO37-07B:SIMPRDESX","FC","10009440C9D0954E;10009440C9D095FC"
"ISTANBUL","PURE_005","PURE-AO37-07B:SIMPRDESX04","PURE-AO37-07B:SIMPRDESX","FC","100070B7E424108B;100070B7E4241163"
"ISTANBUL","PURE_005","PURE-AO37-07B:SIMPRDESX05","PURE-AO37-07B:SIMPRDESX","FC","100070B7E4240FAC;100070B7E42410BD"
"ISTANBUL","PURE_005","PURE-AO37-07B:PSPRDESX19","PURE-AO37-07B:PSPRDESX","FC","51402EC001C85A44;51402EC001C85A46"
"ISTANBUL","PURE_005","PURE-AO37-07B:SEAPRDRAC01","PURE-AO37-07B:SEAPRDRAC","FC","C050760C116A005A;C050760C116A005B;C050760C116A005C;C050760C116A005D;C050760C116A005E;C050760C116A005F;C050760C116A0060;C050760C116A0061;C050760C116A0062;C050760C116A0063;C050760C116A0064;C050760C116A0065;C050760C116A0066;C050760C116A0067;C050760C116A0068;C050760C116A0069"
"ISTANBUL","PURE_005","PURE-AO37-07B:SEAPRDRAC02","PURE-AO37-07B:SEAPRDRAC","FC","C050760C116C0082;C050760C116C0083;C050760C116C0084;C050760C116C0085;C050760C116C0086;C050760C116C0087;C050760C116C0088;C050760C116C0089;C050760C116C008A;C050760C116C008B;C050760C116C008C;C050760C116C008D;C050760C116C008E;C050760C116C008F;C050760C116C0090;C050760C116C0091"
