"Lokasyon","Kabin_Adi","Total_TB","Used_TB","Data_Reduction","Doluluk"
"ISTANBUL","PURE_008","424.07","245.3","2.92:1","%57.84"
"ISTANBUL","PURE_005","650.87","393.4","2.47:1","%60.44"
