"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-17","Istanbul","UMR_CLS","10.81.165.236","0","0","68.55","0","0","13.7:1","62","SVM: 62 | Vol: 24","NetApp Release 9.14.1P12: Tue Mar 25 23:16:26 UTC 2025"
"2026-05-17","Istanbul","UOM_AFF_CLS_01","10.81.165.145","HATA","","","","","-","0","-",""
"2026-05-17","Istanbul","UOM_AFF_CLS_02","10.81.165.150","HATA","","","","","-","0","-",""
"2026-05-17","Ankara","ANK_CLS","10.25.166.88","0","0","171.51","0","0","14.29:1","24","SVM: 24 | Vol: 128","NetApp Release 9.16.1P12: Wed Mar 11 12:37:44 UTC 2026"
"2026-05-17","Ankara","ANK_AFF_CLS_01","10.25.167.238","0","0","15.39","0","0","13.42:1","9","SVM: 9 | Vol: 6","NetApp Release 9.16.1P12: Wed Mar 11 12:37:44 UTC 2026"
"2026-05-17","Ankara","ANK_AFF_CLS_02","10.25.167.239","0","0","0.01","0","0","4.89:1","9","SVM: 9 | Vol: 1","NetApp Release 9.16.1P12: Wed Mar 11 12:37:44 UTC 2026"
"2026-05-17","---","TOPLAM ANKARA","","0","0","186.91","0","0","","","",""
"2026-05-17","---","TOPLAM ISTANBUL","","0","0","68.55","0","0","","","",""
"2026-05-17","===","GENEL TOPLAM","","0","0","255.46","0","0","","","",""
