"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-20","Istanbul","UMR_CLS","10.81.165.236","0","0","61.71","0","0","13.77:1","62","SVM: 62 | Vol: 17","NetApp Release 9.14.1P12: Tue Mar 25 23:16:26 UTC 2025"
"2026-05-20","Istanbul","UOM_AFF_CLS_01","10.81.166.145","0","0","120.46","0","0","14.16:1","10","SVM: 10 | Vol: 17","NetApp Release 9.14.1P12: Tue Mar 25 23:16:26 UTC 2025"
"2026-05-20","Istanbul","UOM_AFF_CLS_02","10.81.166.150","0","0","41.59","0","0","9.88:1","10","SVM: 10 | Vol: 5","NetApp Release 9.14.1P12: Tue Mar 25 23:16:26 UTC 2025"
"2026-05-20","Ankara","ANK_CLS","10.25.166.88","0","0","172.87","0","0","14.28:1","24","SVM: 24 | Vol: 133","NetApp Release 9.16.1P12: Wed Mar 11 12:37:44 UTC 2026"
"2026-05-20","Ankara","ANK_AFF_CLS_01","10.25.167.238","0","0","15.39","0","0","14.42:1","9","SVM: 9 | Vol: 6","NetApp Release 9.16.1P12: Wed Mar 11 12:37:44 UTC 2026"
"2026-05-20","Ankara","ANK_AFF_CLS_02","10.25.167.239","0","0","0.01","0","0","5.76:1","9","SVM: 9 | Vol: 1","NetApp Release 9.16.1P12: Wed Mar 11 12:37:44 UTC 2026"
"2026-05-20","---","TOPLAM ANKARA","","0","0",,"0","0","","","",""
"2026-05-20","---","TOPLAM ISTANBUL","","0","0",,"0","0","","","",""
"2026-05-20","===","GENEL TOPLAM","","0","0",,"0","0","","","",""
