"Lokasyon","Fabric","SwitchName","PortIndex","Slot","Port","Speed","State","Role","PortWWN","Alias","EncOut","CRC","DiscC3","DiscC3Level","SFP"
"Istanbul","A","AI18FC187","47","3","47","16G","Online","Host","51:40:2e:c0:12:3f:e1:bc","SN1100Q FW:v9.14.00 DVR:v5.4.85.0",,,"0","",""
"Istanbul","A","AI18FC187","96","4","0","32G","Online","Host","28:f0:a8:d4:e0:5d:d4:b7","",,,"0","",""
"Istanbul","A","AI18FC187","97","4","1","16G","Online","Host","10:00:94:40:c9:0f:32:33","Emulex PPN-10:00:94:40:C9:0F:32:33",,,"0","",""
"Istanbul","A","AI18FC187","98","4","2","32G","Online","Host","10:00:94:40:c9:d0:ff:ae","Emulex PPN-10:00:94:40:c9:d0:ff:ae",,,"0","",""
"Istanbul","A","AI18FC187","99","4","3","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","100","4","4","32G","Online","Host","10:00:94:40:c9:d4:97:ba","Emulex PPN-10:00:94:40:c9:d4:97:ba",,,"0","",""
"Istanbul","A","AI18FC187","101","4","5","64G","Online","Storage","52:4a:93:77:8a:df:89:81","",,,"0","",""
"Istanbul","A","AI18FC187","102","4","6","32G","Online","Host","28:f0:cc:bc:e3:01:6e:38","",,,"0","",""
"Istanbul","A","AI18FC187","103","4","7","16G","Online","Host","51:40:2e:c0:12:cb:1d:44","SN1100Q FW:v9.15.05 DVR:v10.02.09.100-k",,,"0","",""
"Istanbul","A","AI18FC187","104","4","8","64G","Online","Host","10:00:5c:ed:8c:55:89:16","Emulex PPN-10:00:5c:ed:8c:55:89:16",,,"0","",""
"Istanbul","A","AI18FC187","105","4","9","32G","Online","Host","21:00:f4:c7:aa:05:03:fc","",,,"0","",""
"Istanbul","A","AI18FC187","106","4","10","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","107","4","11","32G","Online","Host","10:00:b4:7a:f1:6e:28:4f","1",,,"0","",""
"Istanbul","A","AI18FC187","108","4","12","32G","Online","Host","10:00:00:62:0b:43:56:57","Emulex PPN-10:00:00:62:0b:43:56:57",,,"0","",""
"Istanbul","A","AI18FC187","109","4","13","32G","Online","Storage","50:00:09:74:10:13:39:cb","EMC-201230 ORC-8c b",,,"17","warning",""
"Istanbul","A","AI18FC187","110","4","14","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","111","4","15","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","112","4","16","64G","No_Sync","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","113","4","17","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","114","4","18","64G","Online","Host","10:00:70:b7:e4:24:30:81","Emulex PPN-10:00:70:b7:e4:24:30:81",,,"0","",""
"Istanbul","A","AI18FC187","115","4","19","16G","Online","Storage","50:06:0e:80:12:3e:f3:08","",,,"0","",""
"Istanbul","A","AI18FC187","116","4","20","32G","Online","Host","28:c0:a8:d4:e0:5d:d4:b7","",,,"1","warning",""
"Istanbul","A","AI18FC187","117","4","21","32G","Online","Host","28:b2:cc:bc:e3:01:6d:f8","",,,"0","",""
"Istanbul","A","AI18FC187","118","4","22","32G","Online","Host","28:c0:cc:bc:e3:01:6e:38","",,,"0","",""
"Istanbul","A","AI18FC187","119","4","23","64G","Online","Storage","52:4a:93:77:8a:df:89:05","",,,"0","",""
"Istanbul","A","AI18FC187","120","4","24","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","121","4","25","32G","Online","Host","21:00:f4:c7:aa:04:ac:9d","",,,"0","",""
"Istanbul","A","AI18FC187","122","4","26","16G","Online","Host","10:00:1c:98:ec:09:84:ef","Emulex PPN-10:00:1c:98:ec:09:84:ef",,,"0","",""
"Istanbul","A","AI18FC187","123","4","27","64G","Online","Host","10:00:5c:ed:8c:55:29:81","Emulex PPN-10:00:5C:ED:8C:55:29:81",,,"0","",""
"Istanbul","A","AI18FC187","124","4","28","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","125","4","29","32G","Online","Host","10:00:94:40:c9:d4:d7:d5","Emulex PPN-10:00:94:40:c9:d4:d7:d5",,,"0","",""
"Istanbul","A","AI18FC187","126","4","30","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","127","4","31","64G","Online","Storage","52:4a:93:77:8a:df:89:4a","",,,"225","alarm",""
"Istanbul","A","AI18FC187","128","4","32","16G","Online","Host","51:40:2e:c0:12:3f:e2:98","SN1100Q FW:v9.14.00 DVR:v5.4.85.0",,,"0","",""
"Istanbul","A","AI18FC187","129","4","33","32G","Online","Host","10:00:b4:7a:f1:d2:37:2d","0",,,"0","",""
"Istanbul","A","AI18FC187","130","4","34","32G","Online","Host","28:12:a8:d4:e0:5d:d4:b7","",,,"0","",""
"Istanbul","A","AI18FC187","131","4","35","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","132","4","36","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","133","4","37","32G","Online","Host","29:02:a8:d4:e0:5d:d4:d4","",,,"0","",""
"Istanbul","A","AI18FC187","134","4","38","32G","Online","Host","28:12:cc:bc:e3:01:6d:f8","",,,"0","",""
"Istanbul","A","AI18FC187","135","4","39","32G","Online","Host","10:00:94:40:c9:d0:7c:d3","1",,,"0","",""
"Istanbul","A","AI18FC187","136","4","40","32G","Online","Host",,"",,,"5","warning",""
"Istanbul","A","AI18FC187","137","4","41","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","138","4","42","32G","Online","Host","10:00:00:62:0b:43:4d:16","1",,,"0","",""
"Istanbul","A","AI18FC187","139","4","43","32G","Online","Host","10:00:00:62:0b:43:5a:36","Emulex PPN-10:00:00:62:0b:43:5a:36",,,"0","",""
"Istanbul","A","AI18FC187","140","4","44","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","141","4","45","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","142","4","46","64G","Online","Storage","52:4a:93:77:8a:df:89:0f","",,,"0","",""
"Istanbul","A","AI18FC187","143","4","47","16G","Online","Storage","50:06:0e:80:12:3e:f3:02","",,,"0","",""
"Istanbul","A","AI18FC187","192","5","0","32G","Online","Host","10:00:00:62:0b:43:58:a5","Emulex PPN-10:00:00:62:0b:43:58:a5",,,"0","",""
"Istanbul","A","AI18FC187","193","5","1","32G","Online","Host","29:00:a8:d4:e0:5d:d4:a5","",,,"0","",""
