"Lokasyon","Kabinet","Lun Group Name","Total Capacity (TB)","LUN Count"
"Ankara","HW002_SOL5","sg_clwdrcgengpu1105","3.07","3"
"Ankara","HW002_SOL5","sg_clwdrcgengpu1103","3.07","3"
"Ankara","HW002_SOL5","sg_ffdrcdb03","22.19","30"
"Ankara","HW002_SOL5","LSXPRDRAC9192","12.03","5"
"Ankara","HW002_SOL5","LSXPRDRAC91","2","1"
"Ankara","HW002_SOL5","LSXPRDRAC92","2","1"
"Ankara","HW002_SOL5","sg_oddrcrac0102_vote","0.03","2"
"Ankara","HW002_SOL5","sg_btdrclx22_23","16","2"
"Ankara","HW002_SOL5","sg_cbdrcrac_refresh_gecici","320","80"
"Ankara","HW002_SOL5","ATLTSTRAC","2","1"
"Ankara","HW002_SOL5","sg_ccdrccln15","139","20"
"Ankara","HW002_SOL5","sg_bnxmcmtstrac52","0.78","2"
"Ankara","HW002_SOL5","sg_bnxmcmtstrac5152","2.15","4"
"Ankara","HW002_SOL5","sg_bnxsesprdcln51","10.49","4"
"Ankara","HW002_SOL5","sg_esrdrccln09","2","2"
"Ankara","HW002_SOL5","sg_bnxgsctstrac51","0.79","3"
"Ankara","HW002_SOL5","sg_bnxgsctstrac52","0.79","3"
"Ankara","HW002_SOL5","sg_bnxgsctstrac5152","4.15","5"
"Ankara","HW002_SOL5","CBTSTKPS51","0.78","2"
"Ankara","HW002_SOL5","sg_backupdrc5250-01","0.49","1"
"Ankara","HW002_SOL5","EVADRCRAC0102","80.03","22"
"Ankara","HW002_SOL5","CBTSTRAC9798","300.03","77"
"Ankara","HW002_SOL5","ANSIBLE_TEST","4.14","13"
"Ankara","HW002_SOL5","FBDRCVM","547","74"
"Ankara","HW002_SOL5","CBDRCLX","20","2"
"Ankara","HW002_SOL5","YNDRCCLN03","331","39"
"Ankara","HW002_SOL5","deneme_fbdrcesx53","0","1"
"Ankara","HW002_SOL5","deneme_fbdrcesx55","0","1"
"Ankara","HW002_SOL5","sg_esrdrccln13","2","2"
"Ankara","HW002_SOL5","sg_esrdrccln11","2","2"
"Ankara","HW002_SOL5","CLWTSTDEVGPU5103","3.07","3"
"Ankara","HW002_SOL5","sg_seatstrac5152","0.03","2"
"Ankara","HW002_SOL5","SEADRCRAC_VOTE","0.03","2"
"Ankara","HW002_SOL5","YTSDRCRES01","0.01","1"
"Ankara","HW002_SOL5","dummy","0","1"
"Ankara","HW002_SOL5","FEDRCDB02","92.99","79"
"Ankara","HW002_SOL5","ECMDRCRAC0304","48.15","51"
"Ankara","HW002_SOL5","GGDRCDB0102","5","4"
"Ankara","HW002_SOL5","BNXSECPOCAPP51","15","3"
