"Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"Istanbul","PURE_07B","10.81.167.91","650.87","333.57","905.31","317.3","51.25","2.51:1","129","Linux: 41 | VMware ESX: 59 | AIX: 29","6.9.4"
"Istanbul","PURE_008","10.81.167.110","424.07","204.91","970.66","219.16","48.32","2.96:1","43","Linux: 9 | VMware ESX: 20 | AIX: 14","6.7.7"
"Istanbul","PURE_005","10.81.167.101","650.87","396.71","1737.32","254.16","60.95","2.46:1","129","Linux: 41 | VMware ESX: 59 | AIX: 29","6.9.4"
"---","TOPLAM ISTANBUL","","1725.81","935.19","3613.29","790.62","54.19","","","",""
"===","GENEL TOPLAM","","1725.81","935.19","3613.29","790.62","54.19","","","",""
