"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-17","Istanbul","PURE_07B","10.81.167.91","HATA","","","","","-","0","-",""
"2026-05-17","Istanbul","PURE_008","10.81.167.110","424.07","205.36","970.66","218.71","48.43","2.96:1","43","Linux: 9 | VMware ESX: 20 | AIX: 14","6.9.4"
"2026-05-17","Istanbul","PURE_005","10.81.167.101","650.87","396.34","1737.32","254.52","60.89","2.46:1","129","Linux: 41 | VMware ESX: 59 | AIX: 29","6.9.4"
"2026-05-17","---","TOPLAM ISTANBUL","","1074.94","601.7","2707.98","473.23","55.98","","","",""
"2026-05-17","===","GENEL TOPLAM","","1074.94","601.7","2707.98","473.23","55.98","","","",""
