"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-17","Istanbul","FB_UOM","10.81.165.243","488.25","232.87","","255.38","47.69","1.6:1","0","-","(ssh)"
"2026-05-17","Ankara","FB_ANK","10.25.167.185","488.25","232.01","","256.24","47.52","1.6:1","0","-","(ssh)"
"2026-05-17","---","TOPLAM ANKARA","","488.25","232.01","","256.24","47.52","","","",""
"2026-05-17","---","TOPLAM ISTANBUL","","488.25","232.87","","255.38","47.69","","","",""
"2026-05-17","===","GENEL TOPLAM","","976.5","464.88","","511.62","47.61","","","",""
