"Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"Istanbul","FB_01","10.81.165.243","HATA","","","","","-","0","-",""
"===","GENEL TOPLAM","","0","0","","0","0","","","",""
