"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-20","Istanbul","PURE_07B","10.81.167.91","650.87","334.42","905.31","316.45","51.38","2.46:1","129","Linux: 41 | VMware ESX: 59 | AIX: 29","6.9.4"
"2026-05-20","Istanbul","PURE_008","10.81.167.110","424.07","203.41","970.66","220.65","47.97","2.96:1","43","Linux: 9 | VMware ESX: 20 | AIX: 14","6.9.4"
"2026-05-20","Istanbul","PURE_005","10.81.167.101","650.87","396.36","1737.32","254.51","60.9","2.45:1","129","Linux: 41 | VMware ESX: 59 | AIX: 29","6.9.4"
"2026-05-20","---","TOPLAM ISTANBUL","","1725.81","934.19","3613.29","791.61","54.13","","","",""
"2026-05-20","===","GENEL TOPLAM","","1725.81","934.19","3613.29","791.61","54.13","","","",""
