"Tarih","Lokasyon","Fabric","SwitchName","IP","Status","Model","Firmware","TotalPorts","OnlinePorts","FreePorts","HostPorts","StoragePorts","ISLPorts","Speed8G","Speed16G","Speed32G","Speed64G","ErrorPorts","Uptime","ActiveCfg"
"2026-05-17","Istanbul","A","AI18FC187","10.81.165.187","OK","Brocade X7-8","9.2.2a","384","300","84","242","33","25","0","77","168","55","41","162 days 2:19","SANDR1_CFG"
"2026-05-17","Istanbul","B","AI25FC190","10.81.165.190","OK","Brocade X7-8","9.2.2a","384","298","86","233","35","30","0","75","168","55","43","155 days 1:55","SANDR2_CFG"
"2026-05-17","Istanbul","A","EO17FC184","10.81.165.184","OK","Brocade X7-8","9.2.2a","384","324","60","268","26","30","0","60","177","87","37","155 days 2:10","SANDR2_CFG"
"2026-05-17","Istanbul","B","EO24FC193","10.81.165.193","OK","Brocade X7-8","9.2.2a","384","327","57","273","26","28","0","61","179","87","15","162 days 1:56","SANDR1_CFG"
"2026-05-17","Istanbul","A","CN39FC196","10.81.165.196","OK","Brocade X7-8","9.2.2a","384","280","104","142","118","20","0","84","145","51","40","155 days 1:52","SANDR2_CFG"
"2026-05-17","Istanbul","B","CO39FC206","10.81.165.206","OK","Brocade X7-8","9.2.2a","384","260","124","124","115","21","0","87","121","52","42","106 days 19:38","SANDR2_CFG"
"2026-05-17","Istanbul","A","CO39FC37","10.81.165.37","OK","Brocade X7-8","9.2.2a","384","279","105","143","110","26","0","84","143","52","41","162 days 2:05","SANDR1_CFG"
"2026-05-17","Istanbul","B","CN39FC209","10.81.165.209","OK","Brocade X7-8","9.2.2a","384","259","125","124","115","20","0","85","122","52","43","155 days 2:14","SANDR1_CFG"
"2026-05-17","Ankara","A","DR707FC215","10.25.167.215","OK","Brocade X7-8","9.2.2c","384","182","202","146","25","11","1","22","155","4","73","30 days 9:59","SANDRC2_CFG"
"2026-05-17","Ankara","B","DR712FC218","10.25.167.218","OK","Brocade X7-8","9.2.2c","384","182","202","147","25","10","1","22","155","4","27","24 days 10:04","DRC_CONFIG"
"2026-05-17","Ankara","A","DR406FC221","10.25.167.221","OK","Brocade X7-8","9.2.2c","384","248","136","148","78","22","0","3","197","48","91","30 days 9:23","SANDRC2_CFG"
"2026-05-17","Ankara","B","DR412FC224","10.25.167.224","OK","Brocade X7-8","9.2.2c","384","248","136","147","80","21","0","3","197","48","90","24 days 9:34","DRC_CONFIG"
"2026-05-17","Ankara","A","DR815FC188","10.25.167.188","OK","Brocade X7-8","9.2.2c","384","61","323","54","0","7","0","0","16","45","0","24 days 10:54","DRC_CONFIG"
"2026-05-17","Ankara","B","DR810FC191","10.25.167.191","OK","Brocade X7-8","9.2.2c","384","85","299","72","0","13","0","0","24","61","28","30 days 10:49","SANDRC2_CFG"
"2026-05-17","Ankara","A","DR712FC194","10.25.167.194","OK","Brocade X7-8","9.2.2c","384","79","305","67","0","12","0","0","24","55","0","24 days 10:33","DRC_CONFIG"
"2026-05-17","Ankara","B","DR707FC197","10.25.167.197","OK","Brocade X7-8","9.2.2c","384","56","328","49","0","7","0","0","16","40","14","30 days 10:28","SANDRC2_CFG"
"2026-05-17","Kos","A","DL21KOS126","10.81.167.126","OK","Brocade X7-4","9.2.0c","144","94","50","62","32","0","2","10","82","0","35","498 days 2:13","K199_CFG"
"2026-05-17","Kos","B","DM21KOS129","10.81.167.129","OK","Brocade X7-4","9.2.0c","144","93","51","61","32","0","2","9","82","0","10","491 days 1:59","K200_CFG"
"2026-05-17","KristalKule","A","KKSAN01A1","10.85.7.61","OK","Brocade G720","9.2.2","64","4","60","4","0","0","0","2","2","0","0","267 days 13:32","GM_61"
"2026-05-17","KristalKule","B","KKSAN02A2","10.85.7.62","OK","Brocade G720","9.2.2","64","4","60","4","0","0","0","2","2","0","0","267 days 13:07","GM_62"
