"Lokasyon","Fabric","SwitchName","PortIndex","PortWWN","Alias","State","Speed"
"Istanbul","A","AI18FC187","129","10:00:b4:7a:f1:d2:37:2d","0","Online","32G"
"Istanbul","A","AI18FC187","130","28:12:a8:d4:e0:5d:d4:b7","","Online","32G"
"Istanbul","A","AI18FC187","133","29:02:a8:d4:e0:5d:d4:d4","","Online","32G"
"Istanbul","A","AI18FC187","134","28:12:cc:bc:e3:01:6d:f8","","Online","32G"
"Istanbul","A","AI18FC187","135","10:00:94:40:c9:d0:7c:d3","1","Online","32G"
"Istanbul","A","AI18FC187","138","10:00:00:62:0b:43:4d:16","1","Online","32G"
"Istanbul","A","AI18FC187","139","10:00:00:62:0b:43:5a:36","Emulex PPN-10:00:00:62:0b:43:5a:36","Online","32G"
"Istanbul","A","AI18FC187","192","10:00:00:62:0b:43:58:a5","Emulex PPN-10:00:00:62:0b:43:58:a5","Online","32G"
"Istanbul","A","AI18FC187","193","29:00:a8:d4:e0:5d:d4:a5","","Online","32G"
"Istanbul","A","AI18FC187","194","29:00:cc:bc:e3:01:6e:35","","Online","32G"
"Istanbul","A","AI18FC187","195","10:00:94:40:c9:d4:87:4e","Emulex PPN-10:00:94:40:c9:d4:87:4e","Online","32G"
"Istanbul","A","AI18FC187","196","29:92:cc:bc:e3:01:6d:fe","","Online","32G"
"Istanbul","A","AI18FC187","197","10:00:70:b7:e4:22:85:bd","Emulex PPN-10:00:70:b7:e4:22:85:bd","Online","64G"
"Istanbul","A","AI18FC187","198","21:00:f4:c7:aa:05:d1:5a","","Online","32G"
"Istanbul","A","AI18FC187","199","10:00:00:62:0b:3c:18:2e","Emulex PPN-10:00:00:62:0B:3C:18:2E","Online","64G"
"Istanbul","A","AI18FC187","201","10:00:94:40:c9:d0:22:3c","Emulex PPN-10:00:94:40:c9:d0:22:3c","Online","32G"
"Istanbul","A","AI18FC187","202","51:40:2e:c0:11:08:98:d4","SN1100Q FW:v9.14.00 DVR:v5.4.83.1","Online","16G"
"Istanbul","A","AI18FC187","203","51:40:2e:c0:12:ca:e3:6a","QLogic Port1 WWPN 51:40:2e:c0:12:ca:e3:6a.......................","Online","16G"
"Istanbul","A","AI18FC187","204","10:00:5c:ed:8c:55:89:57","Emulex PPN-10:00:5c:ed:8c:55:89:57","Online","64G"
"Istanbul","A","AI18FC187","205","51:40:2e:c0:12:3f:46:8c","SN1100Q FW:v9.09.00 DVR:v10.02.09.100-k","Online","16G"
"Istanbul","A","AI18FC187","207","51:40:2e:c0:01:ca:88:a0","SN1100Q FW:v9.15.05 DVR:v10.02.07.900-k","Online","16G"
"Istanbul","A","AI18FC187","210","28:f2:cc:bc:e3:01:6d:fe","","Online","32G"
"Istanbul","A","AI18FC187","211","10:00:5c:ed:8c:55:69:c0","2","Online","64G"
"Istanbul","A","AI18FC187","213","10:00:b4:7a:f1:6e:3a:48","Emulex PPN-10:00:b4:7a:f1:6e:3a:48","Online","32G"
"Istanbul","A","AI18FC187","215","10:00:70:b7:e4:24:12:a5","Emulex PPN-10:00:70:b7:e4:24:12:a5","Online","64G"
"Istanbul","A","AI18FC187","216","51:40:2e:c0:12:ca:e2:14","QLogic Port0 WWPN 51:40:2e:c0:12:ca:e2:14.......................","Online","16G"
"Istanbul","A","AI18FC187","218","10:00:5c:ed:8c:55:29:27","Emulex PPN-10:00:5C:ED:8C:55:29:27","Online","64G"
"Istanbul","A","AI18FC187","219","10:00:94:40:c9:d4:00:1b","Emulex PPN-10:00:94:40:c9:d4:00:1b","Online","32G"
"Istanbul","A","AI18FC187","222","10:00:00:10:9b:d8:b8:22","1","Online","32G"
"Istanbul","A","AI18FC187","225","10:00:b4:7a:f1:d2:37:2e","1","Online","32G"
"Istanbul","A","AI18FC187","226","10:00:94:40:c9:d4:d7:4e","Emulex PPN-10:00:94:40:c9:d4:d7:4e","Online","32G"
"Istanbul","A","AI18FC187","228","51:40:2e:c0:15:52:31:12","","Online","16G"
"Istanbul","A","AI18FC187","231","10:00:94:40:c9:d0:9c:22","3","Online","32G"
"Istanbul","A","AI18FC187","232","29:62:cc:bc:e3:01:6d:f8","","Online","32G"
"Istanbul","A","AI18FC187","236","51:40:2e:c0:12:3f:46:70","SN1100Q FW:v9.09.00 DVR:v10.02.09.100-k","Online","16G"
"Istanbul","A","AI18FC187","239","10:00:00:62:0b:42:46:21","0","Online","64G"
"Istanbul","A","AI18FC187","289","10:00:94:40:c9:ce:55:e1","2","Online","32G"
"Istanbul","A","AI18FC187","290","10:00:00:62:0b:43:73:d5","0","Online","32G"
"Istanbul","A","AI18FC187","291","10:00:94:40:c9:d0:c2:1f","3","Online","32G"
"Istanbul","A","AI18FC187","292","10:00:70:b7:e4:24:15:3f","Emulex PPN-10:00:70:b7:e4:24:15:3f","Online","64G"
"Istanbul","A","AI18FC187","293","28:b0:a8:d4:e0:5d:d4:a5","","Online","32G"
"Istanbul","A","AI18FC187","294","10:00:94:40:c9:d4:90:a5","Emulex PPN-10:00:94:40:c9:d4:90:a5","Online","32G"
"Istanbul","A","AI18FC187","295","10:00:94:40:c9:ce:52:de","Emulex PPN-10:00:94:40:c9:ce:52:de","Online","32G"
"Istanbul","A","AI18FC187","296","51:40:2e:c0:15:52:27:28","SN1100Q FW:v9.14.00 DVR:v10.02.09.100-k","Online","16G"
"Istanbul","A","AI18FC187","297","10:00:00:62:0b:43:53:6f","Emulex PPN-10:00:00:62:0b:43:53:6f","Online","32G"
"Istanbul","A","AI18FC187","298","10:00:94:40:c9:d4:81:7e","Emulex PPN-10:00:94:40:c9:d4:81:7e","Online","32G"
"Istanbul","A","AI18FC187","299","28:b0:cc:bc:e3:01:6e:35","","Online","32G"
"Istanbul","A","AI18FC187","302","10:00:00:10:9b:d8:9c:f4","3","Online","32G"
