"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-21","Istanbul","FB_UOM","10.81.165.243","488.25","233.86","","254.39","47.9","1.6:1","0","-","(ssh)"
"2026-05-21","Ankara","FB_ANK","10.25.167.185","488.25","233.11","","255.14","47.74","1.6:1","0","-","(ssh)"
"2026-05-21","---","TOPLAM ANKARA","","488.25","233.11",,"255.14","47.74","","","",""
"2026-05-21","---","TOPLAM ISTANBUL","","488.25","233.86",,"254.39","47.9","","","",""
"2026-05-21","===","GENEL TOPLAM","","976.5","466.97",,"509.53","47.82","","","",""
