"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-20","Istanbul","FB_UOM","10.81.165.243","488.25","233.7","","254.55","47.86","1.6:1","0","-","(ssh)"
"2026-05-20","Ankara","FB_ANK","10.25.167.185","488.25","232.91","","255.34","47.7","1.6:1","0","-","(ssh)"
"2026-05-20","---","TOPLAM ANKARA","","488.25","232.91",,"255.34","47.7","","","",""
"2026-05-20","---","TOPLAM ISTANBUL","","488.25","233.7",,"254.55","47.86","","","",""
"2026-05-20","===","GENEL TOPLAM","","976.5","466.61",,"509.89","47.78","","","",""
