"Lokasyon","Kabinet","Host Name","OS","Host Group","Protocol","Provisioned (TB)","Host WWN"
"Istanbul","PURE_07B","KFTPRDRAC01","AIX","KFTPRDRAC0102","FC","0.03","c0:50:76:0c:11:6a:00:40 | c0:50:76:0c:11:6a:00:41 | c0:50:76:0c:11:6a:00:42 | c0:50:76:0c:11:6a:00:43 | c0:50:76:0c:11:6a:00:44 | c0:50:76:0c:11:6a:00:45 | c0:50:76:0c:11:6a:00:46 | c0:50:76:0c:11:6a:00:47 | c0:50:76:0c:11:6a:00:48 | c0:50:76:0c:11:6a:00:49 | c0:50:76:0c:11:6a:00:4a | c0:50:76:0c:11:6a:00:4b | c0:50:76:0c:11:6a:00:4c | c0:50:76:0c:11:6a:00:4d | c0:50:76:0c:11:6a:00:4e | c0:50:76:0c:11:6a:00:4f"
"Istanbul","PURE_07B","KFTPRDRAC02","AIX","KFTPRDRAC0102","FC","0.03","c0:50:76:0c:11:6c:00:70 | c0:50:76:0c:11:6c:00:71 | c0:50:76:0c:11:6c:00:72 | c0:50:76:0c:11:6c:00:73 | c0:50:76:0c:11:6c:00:74 | c0:50:76:0c:11:6c:00:75 | c0:50:76:0c:11:6c:00:76 | c0:50:76:0c:11:6c:00:77 | c0:50:76:0c:11:6c:00:78 | c0:50:76:0c:11:6c:00:79 | c0:50:76:0c:11:6c:00:7a | c0:50:76:0c:11:6c:00:7b | c0:50:76:0c:11:6c:00:7c | c0:50:76:0c:11:6c:00:7d | c0:50:76:0c:11:6c:00:7e | c0:50:76:0c:11:6c:00:7f"
"Istanbul","PURE_07B","FEPRDVM01","VMware ESX","HG-FEPRDVM-UNIX","FC","405","10:00:b4:7a:f1:d2:07:ab | 10:00:b4:7a:f1:d2:30:9c"
"Istanbul","PURE_07B","DAPRDCAS05","Linux","","FC","20.5","51:40:2e:c0:01:ca:77:a8 | 51:40:2e:c0:01:ca:84:ec"
"Istanbul","PURE_07B","TNGPRDRAC01","AIX","TNGPRDRAC0102","FC","0.03","c0:50:76:0c:11:6a:00:7a | c0:50:76:0c:11:6a:00:7b | c0:50:76:0c:11:6a:00:7c | c0:50:76:0c:11:6a:00:7d | c0:50:76:0c:11:6a:00:7e | c0:50:76:0c:11:6a:00:7f | c0:50:76:0c:11:6a:00:80 | c0:50:76:0c:11:6a:00:81 | c0:50:76:0c:11:6a:00:82 | c0:50:76:0c:11:6a:00:83 | c0:50:76:0c:11:6a:00:84 | c0:50:76:0c:11:6a:00:85 | c0:50:76:0c:11:6a:00:86 | c0:50:76:0c:11:6a:00:87 | c0:50:76:0c:11:6a:00:88 | c0:50:76:0c:11:6a:00:89"
"Istanbul","PURE_07B","TNGPRDRAC02","AIX","TNGPRDRAC0102","FC","0.03","c0:50:76:0c:11:6c:00:a2 | c0:50:76:0c:11:6c:00:a3 | c0:50:76:0c:11:6c:00:a4 | c0:50:76:0c:11:6c:00:a5 | c0:50:76:0c:11:6c:00:a6 | c0:50:76:0c:11:6c:00:a7 | c0:50:76:0c:11:6c:00:a8 | c0:50:76:0c:11:6c:00:a9 | c0:50:76:0c:11:6c:00:aa | c0:50:76:0c:11:6c:00:ab | c0:50:76:0c:11:6c:00:ac | c0:50:76:0c:11:6c:00:ad | c0:50:76:0c:11:6c:00:ae | c0:50:76:0c:11:6c:00:af | c0:50:76:0c:11:6c:00:b0 | c0:50:76:0c:11:6c:00:b1"
"Istanbul","PURE_07B","FBPRDESX47","VMware ESX","FBPRDESX-TELEKOM","FC","36","10:00:94:40:c9:d4:00:18 | 10:00:94:40:c9:d4:00:1b"
"Istanbul","PURE_07B","FBPRDESX48","VMware ESX","FBPRDESX-TELEKOM","FC","36","10:00:94:40:c9:d4:90:90 | 10:00:94:40:c9:d4:90:a5"
"Istanbul","PURE_07B","FBPRDESX49","VMware ESX","FBPRDESX-TELEKOM","FC","36","10:00:94:40:c9:d0:ff:c6 | 10:00:94:40:c9:d0:ff:f0"
"Istanbul","PURE_07B","FBPRDESX50","VMware ESX","FBPRDESX-TELEKOM","FC","36","10:00:94:40:c9:d4:90:0f | 10:00:94:40:c9:d4:90:12"
"Istanbul","PURE_07B","FBPRDESX51","VMware ESX","FBPRDESX-TELEKOM","FC","36","10:00:94:40:c9:d4:90:09 | 10:00:94:40:c9:d4:90:0c"
"Istanbul","PURE_07B","FBPRDESX52","VMware ESX","FBPRDESX-TELEKOM","FC","36","10:00:94:40:c9:d0:0f:42 | 10:00:94:40:c9:d0:0f:57"
"Istanbul","PURE_07B","SEATSTRAC01","AIX","SEATSTRAC","FC","0.03","c0:50:76:0c:11:6a:00:6a | c0:50:76:0c:11:6a:00:6b | c0:50:76:0c:11:6a:00:6c | c0:50:76:0c:11:6a:00:6d | c0:50:76:0c:11:6a:00:6e | c0:50:76:0c:11:6a:00:6f | c0:50:76:0c:11:6a:00:70 | c0:50:76:0c:11:6a:00:71 | c0:50:76:0c:11:6a:00:72 | c0:50:76:0c:11:6a:00:73 | c0:50:76:0c:11:6a:00:74 | c0:50:76:0c:11:6a:00:75 | c0:50:76:0c:11:6a:00:76 | c0:50:76:0c:11:6a:00:77 | c0:50:76:0c:11:6a:00:78 | c0:50:76:0c:11:6a:00:79"
"Istanbul","PURE_07B","SEATSTRAC02","AIX","SEATSTRAC","FC","0.03","c0:50:76:0c:11:6c:00:92 | c0:50:76:0c:11:6c:00:93 | c0:50:76:0c:11:6c:00:94 | c0:50:76:0c:11:6c:00:95 | c0:50:76:0c:11:6c:00:96 | c0:50:76:0c:11:6c:00:97 | c0:50:76:0c:11:6c:00:98 | c0:50:76:0c:11:6c:00:99 | c0:50:76:0c:11:6c:00:9a | c0:50:76:0c:11:6c:00:9b | c0:50:76:0c:11:6c:00:9c | c0:50:76:0c:11:6c:00:9d | c0:50:76:0c:11:6c:00:9e | c0:50:76:0c:11:6c:00:9f | c0:50:76:0c:11:6c:00:a0 | c0:50:76:0c:11:6c:00:a1"
"Istanbul","PURE_07B","FEPRDVM05","VMware ESX","HG-FEPRDVM-UNIX","FC","405","10:00:70:b7:e4:22:85:a0 | 10:00:70:b7:e4:22:85:bd"
"Istanbul","PURE_07B","FEPRDVM06","VMware ESX","HG-FEPRDVM-UNIX","FC","405","10:00:70:b7:e4:24:12:a5 | 10:00:70:b7:e4:24:13:49"
