"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-21","Istanbul","PURE_07B","10.81.167.91","650.87","253.12","905.31","397.74","38.89","2.43:1","129","Linux: 41 | VMware ESX: 59 | AIX: 29","6.9.4"
"2026-05-21","Istanbul","PURE_008","10.81.167.110","424.07","203.74","970.66","220.33","48.04","2.96:1","43","Linux: 9 | VMware ESX: 20 | AIX: 14","6.9.4"
"2026-05-21","Istanbul","PURE_005","10.81.167.101","650.87","398.02","1737.32","252.85","61.15","2.44:1","129","Linux: 41 | VMware ESX: 59 | AIX: 29","6.9.4"
"2026-05-21","---","TOPLAM ISTANBUL","","1725.81","854.88","3613.29","870.92","49.54","","","",""
"2026-05-21","===","GENEL TOPLAM","","1725.81","854.88","3613.29","870.92","49.54","","","",""
